GameNum,AgentUsed,PlayerResult,AgentResult,PlayerScore,AgentScore,GameTime,Simulated
1,alpha-beta,Loss,Win,0,1,15.04,1
2,alpha-beta,Loss,Win,0,1,6.14,1
3,alpha-beta,Loss,Win,0,1,9.58,1
4,alpha-beta,Loss,Win,0,1,5.66,1
5,alpha-beta,Loss,Win,0,1,9.87,1
6,minimax,Loss,Win,0,1,43.55,1
7,minimax,Loss,Win,0,1,32.66,1
8,minimax,Loss,Win,0,1,40.61,1
9,minimax,Loss,Win,0,1,35.81,1
10,minimax,Loss,Win,0,1,40.09,1
11,minimax,Loss,Win,0,1,31.81,1
12,minimax,Loss,Win,0,1,27.62,1
13,minimax,Loss,Win,0,1,42.53,1
14,minimax,Loss,Win,0,1,40.10,1
15,minimax,Loss,Win,0,1,19.31,1
16,minimax,Loss,Win,0,1,28.51,1
17,minimax,Loss,Win,0,1,19.15,1
18,minimax,Loss,Win,0,1,33.13,1
19,minimax,Loss,Win,0,1,41.53,1
20,minimax,Loss,Win,0,1,32.17,1
21,minimax,Loss,Win,0,1,36.29,1
22,minimax,Loss,Win,0,1,29.15,1
23,minimax,Loss,Win,0,1,18.94,1
24,minimax,Loss,Win,0,1,19.34,1
25,minimax,Loss,Win,0,1,28.09,1
26,minimax,Loss,Win,0,1,46.75,1
27,minimax,Loss,Win,0,1,19.34,1
28,minimax,Loss,Win,0,1,31.48,1
29,minimax,Loss,Win,0,1,52.18,1
30,minimax,Loss,Win,0,1,37.11,1
31,minimax,Loss,Win,0,1,23.64,1
32,minimax,Loss,Win,0,1,17.98,1
33,minimax,Loss,Win,0,1,23.70,1
34,minimax,Loss,Win,0,1,34.02,1
35,minimax,Loss,Win,0,1,23.01,1
36,minimax,Loss,Win,0,1,47.71,1
37,minimax,Loss,Win,0,1,41.08,1
38,minimax,Loss,Win,0,1,28.91,1
39,minimax,Loss,Win,0,1,19.19,1
40,minimax,Loss,Win,0,1,45.51,1
41,minimax,Loss,Win,0,1,28.00,1
42,minimax,Loss,Win,0,1,18.01,1
43,minimax,Loss,Win,0,1,31.56,1
44,minimax,Loss,Win,0,1,27.80,1
45,minimax,Loss,Win,0,1,23.73,1
46,minimax,Loss,Win,0,1,19.04,1
47,minimax,Loss,Win,0,1,33.26,1
48,minimax,Loss,Win,0,1,30.84,1
49,minimax,Loss,Win,0,1,31.87,1
50,minimax,Loss,Win,0,1,27.13,1
51,minimax,Loss,Win,0,1,19.14,1
52,minimax,Loss,Win,0,1,23.93,1
53,minimax,Loss,Win,0,1,32.05,1
54,minimax,Loss,Win,0,1,38.45,1
55,minimax,Loss,Win,0,1,36.77,1
56,minimax,Loss,Win,0,1,28.25,1
57,minimax,Loss,Win,0,1,23.23,1
58,minimax,Loss,Win,0,1,28.38,1
59,minimax,Loss,Win,0,1,18.67,1
60,minimax,Loss,Win,0,1,38.06,1
61,minimax,Loss,Win,0,1,34.98,1
62,minimax,Loss,Win,0,1,28.80,1
63,minimax,Loss,Win,0,1,29.07,1
64,minimax,Loss,Win,0,1,23.56,1
65,minimax,Loss,Win,0,1,37.62,1
66,minimax,Loss,Win,0,1,23.39,1
67,minimax,Loss,Win,0,1,37.92,1
68,minimax,Loss,Win,0,1,18.41,1
69,minimax,Loss,Win,0,1,37.03,1
70,minimax,Loss,Win,0,1,19.05,1
71,minimax,Loss,Win,0,1,47.94,1
72,minimax,Loss,Win,0,1,42.17,1
73,minimax,Loss,Win,0,1,36.29,1
74,minimax,Loss,Win,0,1,28.84,1
75,minimax,Loss,Win,0,1,47.74,1
76,minimax,Loss,Win,0,1,37.45,1
77,minimax,Loss,Win,0,1,28.76,1
78,minimax,Loss,Win,0,1,42.79,1
79,minimax,Loss,Win,0,1,33.37,1
80,minimax,Loss,Win,0,1,44.43,1
81,minimax,Loss,Win,0,1,19.12,1
82,minimax,Loss,Win,0,1,34.93,1
83,minimax,Loss,Win,0,1,22.77,1
84,minimax,Loss,Win,0,1,24.07,1
85,minimax,Loss,Win,0,1,24.19,1
86,minimax,Loss,Win,0,1,22.90,1
87,minimax,Loss,Win,0,1,35.15,1
88,minimax,Loss,Win,0,1,29.26,1
89,minimax,Loss,Win,0,1,24.17,1
90,minimax,Loss,Win,0,1,17.86,1
91,minimax,Loss,Win,0,1,45.60,1
92,minimax,Loss,Win,0,1,23.90,1
93,minimax,Loss,Win,0,1,22.92,1
94,minimax,Loss,Win,0,1,31.84,1
95,minimax,Loss,Win,0,1,27.89,1
96,minimax,Loss,Win,0,1,28.64,1
97,minimax,Loss,Win,0,1,19.07,1
98,minimax,Loss,Win,0,1,18.26,1
99,minimax,Loss,Win,0,1,50.09,1
100,minimax,Loss,Win,0,1,24.35,1
101,minimax,Loss,Win,0,1,23.03,1
102,minimax,Loss,Win,0,1,48.12,1
103,minimax,Loss,Win,0,1,28.24,1
104,minimax,Loss,Win,0,1,32.21,1
105,minimax,Loss,Win,0,1,19.09,1
106,alpha-beta,Loss,Win,0,1,13.11,1
107,alpha-beta,Loss,Win,0,1,4.90,1
108,alpha-beta,Loss,Win,0,1,10.60,1
109,alpha-beta,Loss,Win,0,1,10.20,1
110,alpha-beta,Loss,Win,0,1,7.28,1
111,alpha-beta,Loss,Win,0,1,12.54,1
112,alpha-beta,Loss,Win,0,1,5.17,1
113,alpha-beta,Loss,Win,0,1,14.58,1
114,alpha-beta,Loss,Win,0,1,11.12,1
115,alpha-beta,Loss,Win,0,1,5.55,1
116,alpha-beta,Loss,Win,0,1,5.12,1
117,alpha-beta,Loss,Win,0,1,13.20,1
118,alpha-beta,Loss,Win,0,1,9.90,1
119,alpha-beta,Loss,Win,0,1,11.95,1
120,alpha-beta,Loss,Win,0,1,10.85,1
121,alpha-beta,Loss,Win,0,1,8.28,1
122,alpha-beta,Loss,Win,0,1,10.95,1
123,alpha-beta,Loss,Win,0,1,4.55,1
124,alpha-beta,Loss,Win,0,1,4.27,1
125,alpha-beta,Loss,Win,0,1,6.21,1
126,alpha-beta,Loss,Win,0,1,10.07,1
127,alpha-beta,Loss,Win,0,1,12.02,1
128,alpha-beta,Loss,Win,0,1,15.23,1
129,alpha-beta,Loss,Win,0,1,8.10,1
130,alpha-beta,Loss,Win,0,1,10.43,1
131,alpha-beta,Loss,Win,0,1,5.10,1
132,alpha-beta,Loss,Win,0,1,15.22,1
133,alpha-beta,Loss,Win,0,1,5.55,1
134,alpha-beta,Loss,Win,0,1,13.35,1
135,alpha-beta,Loss,Win,0,1,7.56,1
136,alpha-beta,Loss,Win,0,1,4.81,1
137,alpha-beta,Loss,Win,0,1,11.52,1
138,alpha-beta,Loss,Win,0,1,8.22,1
139,alpha-beta,Loss,Win,0,1,9.38,1
140,alpha-beta,Loss,Win,0,1,8.03,1
141,alpha-beta,Loss,Win,0,1,9.85,1
142,alpha-beta,Loss,Win,0,1,5.42,1
143,alpha-beta,Loss,Win,0,1,14.98,1
144,alpha-beta,Loss,Win,0,1,9.25,1
145,alpha-beta,Loss,Win,0,1,15.32,1
146,alpha-beta,Loss,Win,0,1,7.37,1
147,alpha-beta,Loss,Win,0,1,10.60,1
148,alpha-beta,Loss,Win,0,1,5.00,1
149,alpha-beta,Loss,Win,0,1,14.70,1
150,alpha-beta,Loss,Win,0,1,15.90,1
151,alpha-beta,Loss,Win,0,1,5.88,1
152,alpha-beta,Loss,Win,0,1,6.03,1
153,alpha-beta,Loss,Win,0,1,6.13,1
154,alpha-beta,Loss,Win,0,1,17.07,1
155,alpha-beta,Loss,Win,0,1,5.97,1
156,alpha-beta,Loss,Win,0,1,9.00,1
157,alpha-beta,Loss,Win,0,1,5.24,1
158,alpha-beta,Loss,Win,0,1,10.83,1
159,alpha-beta,Loss,Win,0,1,14.30,1
160,alpha-beta,Loss,Win,0,1,10.22,1
161,alpha-beta,Loss,Win,0,1,5.88,1
162,alpha-beta,Loss,Win,0,1,5.98,1
163,alpha-beta,Loss,Win,0,1,7.23,1
164,alpha-beta,Loss,Win,0,1,5.30,1
165,alpha-beta,Loss,Win,0,1,12.85,1
166,alpha-beta,Loss,Win,0,1,10.13,1
167,alpha-beta,Loss,Win,0,1,9.25,1
168,alpha-beta,Loss,Win,0,1,5.18,1
169,alpha-beta,Loss,Win,0,1,5.20,1
170,alpha-beta,Loss,Win,0,1,4.75,1
171,alpha-beta,Loss,Win,0,1,5.22,1
172,alpha-beta,Loss,Win,0,1,4.42,1
173,alpha-beta,Loss,Win,0,1,10.90,1
174,alpha-beta,Loss,Win,0,1,8.66,1
175,alpha-beta,Loss,Win,0,1,6.06,1
176,alpha-beta,Loss,Win,0,1,6.40,1
177,alpha-beta,Loss,Win,0,1,9.21,1
178,alpha-beta,Loss,Win,0,1,4.12,1
179,alpha-beta,Loss,Win,0,1,5.32,1
180,alpha-beta,Loss,Win,0,1,8.57,1
181,alpha-beta,Loss,Win,0,1,7.10,1
182,alpha-beta,Loss,Win,0,1,7.42,1
183,alpha-beta,Loss,Win,0,1,9.09,1
184,alpha-beta,Loss,Win,0,1,5.10,1
185,alpha-beta,Loss,Win,0,1,9.00,1
186,alpha-beta,Loss,Win,0,1,9.41,1
187,alpha-beta,Loss,Win,0,1,4.04,1
188,alpha-beta,Loss,Win,0,1,9.50,1
189,alpha-beta,Loss,Win,0,1,10.92,1
190,alpha-beta,Loss,Win,0,1,6.35,1
191,alpha-beta,Loss,Win,0,1,10.27,1
192,alpha-beta,Loss,Win,0,1,11.68,1
193,alpha-beta,Loss,Win,0,1,10.14,1
194,alpha-beta,Loss,Win,0,1,4.24,1
195,alpha-beta,Loss,Win,0,1,6.48,1
196,alpha-beta,Loss,Win,0,1,9.60,1
197,alpha-beta,Loss,Win,0,1,7.58,1
198,alpha-beta,Loss,Win,0,1,7.18,1
199,alpha-beta,Loss,Win,0,1,7.75,1
200,alpha-beta,Loss,Win,0,1,4.15,1
201,gemini,Win,Loss,1,0,39.43,0
202,gemini,Loss,Win,0,1,40.15,0
203,gemini,Win,Loss,1,0,60.82,0
